freq_mhz,canal,mediana,pct_ocupado
853.125,C,-42.025,90.164
853.145,C,-41.675,91.803
853.164,C,-45.46,80.328
853.184,C,-47.118,77.049
853.203,C,-49.381,75.41
853.223,C,-47.906,77.049
853.242,C,-47.952,81.967
853.262,C,-50.479,73.77
853.281,C,-49.733,75.41
853.301,C,-50.508,70.492
853.32,C,-53.037,67.213
853.34,C,-53.299,62.295
853.359,C,-53.123,73.77
853.379,C,-55.126,70.492
853.398,C,-55.814,57.377
853.418,C,-55.43,59.016
853.438,C,-55.258,59.016
853.457,C,-55.767,63.934
853.477,C,-56.749,57.377
853.496,C,-58.406,54.098
853.516,C,-58.318,54.098
853.535,C,-59.182,55.738
853.555,C,-58.344,50.82
853.574,C,-59.196,52.459
853.594,C,-59.822,52.459
853.613,C,-60.421,49.18
853.633,C,-60.978,49.18
853.652,C,-60.041,49.18
853.672,C,-60.713,47.541
853.691,C,-60.171,49.18
853.711,C,-63.697,47.541
853.73,C,-62.171,47.541
853.75,C,-62.122,47.541
853.77,C,-60.666,49.18
853.789,C,-60.242,49.18
853.809,C,-61.417,47.541
853.828,C,-60.92,45.902
853.848,C,-61.465,47.541
853.867,C,-61.225,47.541
853.887,C,-61.311,45.902
853.906,C,-62.269,45.902
853.926,C,-61.209,44.262
853.945,C,-65.171,40.984
853.965,C,-64.823,44.262
853.984,C,-62.778,40.984
854.004,C,-61.891,44.262
854.023,C,-61.465,40.984
854.043,C,-63.052,40.984
854.062,C,-63.553,39.344
854.082,C,-62.834,36.066
854.102,C,-62.322,37.705
854.121,C,-61.852,40.984
854.141,C,-62.358,42.623
854.16,C,-63.12,42.623
854.18,C,-63.925,39.344
854.199,C,-63.328,40.984
854.219,C,-62.829,40.984
854.238,C,-63.231,42.623
854.258,C,-62.974,39.344
854.277,C,-62.964,40.984
854.297,C,-63.58,40.984
854.316,C,-63.19,40.984
854.336,C,-65.074,34.426
854.355,C,-63.654,34.426
854.375,C,-63.667,36.066
854.395,C,-63.358,31.148
854.414,C,-66.521,31.148
854.434,C,-65.138,32.787
854.453,C,-63.992,34.426
854.473,C,-64.436,29.508
854.492,C,-64.526,34.426
854.512,C,-64.791,34.426
854.531,C,-64.541,32.787
854.551,C,-64.584,32.787
854.57,C,-64.889,36.066
854.59,C,-65.959,29.508
854.609,C,-68.512,32.787
854.629,C,-67.896,36.066
854.648,C,-66.697,34.426
854.668,C,-65.635,32.787
854.688,C,-65.668,32.787
854.707,C,-65.846,34.426
854.727,C,-66.275,31.148
854.746,C,-65.316,32.787
854.766,C,-64.25,31.148
854.785,C,-64.529,32.787
854.805,C,-64.156,31.148
854.824,C,-66.538,32.787
854.844,C,-66.76,32.787
854.863,C,-67.473,32.787
854.883,C,-66.112,32.787
854.902,C,-66.207,34.426
854.922,C,-66.095,32.787
854.941,C,-67.201,32.787
854.961,C,-66.492,34.426
854.98,C,-66.169,36.066
855.0,D,-66.622,34.426
855.02,D,-65.705,29.508
855.039,D,-65.884,34.426
855.059,D,-65.904,32.787
855.078,D,-65.839,34.426
855.098,D,-65.781,31.148
855.117,D,-65.683,31.148
855.137,D,-66.42,31.148
855.156,D,-65.58,29.508
855.176,D,-65.481,29.508
855.195,D,-66.138,27.869
855.215,D,-65.266,29.508
855.234,D,-65.517,29.508
855.254,D,-67.295,27.869
855.273,D,-66.746,27.869
855.293,D,-66.784,27.869
855.312,D,-66.081,29.508
855.332,D,-66.438,29.508
855.352,D,-66.377,27.869
855.371,D,-67.19,24.59
855.391,D,-68.054,27.869
855.41,D,-66.63,26.23
855.43,D,-66.277,26.23
855.449,D,-67.022,24.59
855.469,D,-67.067,24.59
855.488,D,-68.055,26.23
855.508,D,-67.69,24.59
855.527,D,-67.324,22.951
855.547,D,-67.885,21.311
855.566,D,-66.914,24.59
855.586,D,-67.865,26.23
855.605,D,-68.74,22.951
855.625,D,-67.803,24.59
855.645,D,-68.926,22.951
855.664,D,-68.438,27.869
855.684,D,-67.828,26.23
855.703,D,-68.208,26.23
855.723,D,-68.669,26.23
855.742,D,-67.348,27.869
855.762,D,-67.243,26.23
855.781,D,-66.591,27.869
855.801,D,-66.817,22.951
855.82,D,-67.47,29.508
855.84,D,-68.36,29.508
855.859,D,-67.313,29.508
855.879,D,-66.727,24.59
855.898,D,-68.225,22.951
855.918,D,-69.711,26.23
855.938,D,-70.234,26.23
855.957,D,-68.147,27.869
855.977,D,-67.153,27.869
855.996,D,-66.456,27.869
856.016,D,-67.402,26.23
856.035,D,-67.966,27.869
856.055,D,-67.761,26.23
856.074,D,-66.956,26.23
856.094,D,-66.758,24.59
856.113,D,-67.193,24.59
856.133,D,-67.18,26.23
856.152,D,-67.91,24.59
856.172,D,-68.902,26.23
856.191,D,-68.087,26.23
856.211,D,-67.483,27.869
856.23,D,-68.588,29.508
856.25,D,-68.345,26.23
856.27,D,-66.68,26.23
856.289,D,-68.135,29.508
856.309,D,-67.127,27.869
856.328,D,-67.909,27.869
856.348,D,-68.962,27.869
856.367,D,-69.187,29.508
856.387,D,-67.274,26.23
856.406,D,-68.212,21.311
856.426,D,-68.489,21.311
856.445,D,-68.485,24.59
856.465,D,-67.14,24.59
856.484,D,-67.801,21.311
856.504,D,-67.386,19.672
856.523,D,-68.468,22.951
856.543,D,-69.046,22.951
856.562,D,-69.544,18.033
856.582,D,-69.195,19.672
856.602,D,-68.447,19.672
856.621,D,-67.898,22.951
856.641,D,-68.2,22.951
856.66,D,-68.049,22.951
856.68,D,-68.399,22.951
856.699,D,-68.36,22.951
856.719,D,-67.766,24.59
856.738,D,-66.94,24.59
856.758,D,-67.052,26.23
856.777,D,-68.3,24.59
856.797,D,-68.221,19.672
856.816,D,-68.017,22.951
856.836,D,-69.141,22.951
856.855,D,-70.087,21.311
856.875,D,-69.589,24.59
856.895,D,-70.067,22.951
856.914,D,-70.307,24.59
856.934,D,-70.108,24.59
856.953,D,-70.89,27.869
856.973,D,-70.092,29.508
856.992,D,-70.217,24.59
857.012,D,-68.977,24.59
857.031,D,-70.831,24.59
857.051,D,-69.242,27.869
857.07,D,-69.329,24.59
857.09,D,-68.582,18.033
857.109,D,-68.028,18.033
857.129,D,-69.092,22.951
857.148,D,-67.846,22.951
857.168,D,-67.741,18.033
857.188,D,-67.813,18.033
857.207,D,-68.824,22.951
857.227,D,-69.545,22.951
857.246,D,-69.27,21.311
857.266,D,-69.651,21.311
857.285,D,-68.778,21.311
857.305,D,-68.033,19.672
857.324,D,-68.393,24.59
857.344,D,-68.071,21.311
857.363,D,-68.241,19.672
857.383,D,-68.009,18.033
857.402,D,-68.959,19.672
857.422,D,-67.007,22.951
857.441,D,-67.188,21.311
